대여번호,회원번호,도서번호,대여일,반납기한,반납일,반납상태,연체일수,연장횟수,별점
RENT0000000290,IDS00001,S000035,2025-01-28,2025-02-25,2025-03-05,연체,8,2,6
RENT0000000291,IDS00048,S000326,2025-03-17,2025-04-14,2025-03-28,정상,0,2,7
RENT0000000292,IDS00046,S000063,2024-12-31,2025-01-14,2025-01-03,정상,0,0,8
RENT0000000293,IDS00025,S000197,2025-03-18,2025-04-15,2025-04-06,정상,0,2,2
RENT0000000294,IDS00044,S000600,2025-04-03,2025-04-24,2025-04-08,정상,0,1,9
RENT0000000295,IDS00027,S000592,2025-03-07,2025-03-28,2025-03-17,정상,0,1,8
RENT0000000296,IDS00006,S000483,2024-08-24,2024-09-21,2024-09-30,연체,9,2,2
RENT0000000297,IDS00007,S000331,2024-10-06,2024-10-27,2024-10-24,정상,0,1,7
RENT0000000298,IDS00008,S000308,2024-08-02,2024-08-30,2024-08-26,정상,0,2,4
RENT0000000299,IDS00036,S000371,2025-06-03,2025-06-24,2025-07-01,연체,7,1,6
RENT0000000300,IDS00030,S000015,2024-09-16,2024-10-14,2024-10-05,정상,0,2,3
